fdc_id,protein_g,fat_g,carbs_g,energy_kcal,fiber_g,food_name,dry_mass_g,energy_density,protein_ratio,fat_ratio,carbs_ratio,protein_category
167512,5.88,13.24,41.18,307.0,1.2,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",61.5,4.912,0.09408,0.21184,0.65888,Low Protein
167513,4.34,11.27,53.42,330.0,1.4,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",70.43,4.619907601847963,0.060758784824303504,0.15777684446311072,0.747865042699146,Low Protein
167516,6.58,9.22,41.05,273.0,2.2,"Waffles, buttermilk, frozen, ready-to-heat",59.05,4.546211490424646,0.10957535387177353,0.15353871773522068,0.6835970024979184,Low Protein
167517,7.42,9.49,48.39,309.0,2.6,"Waffle, buttermilk, frozen, ready-to-heat, toasted",67.89999999999999,4.484760522496372,0.1076923076923077,0.1377358490566038,0.7023222060957911,Low Protein
167518,6.92,9.4,44.16,289.0,2.4,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",62.879999999999995,4.52410770194114,0.10832811521603006,0.1471509079524108,0.691296180338134,Low Protein
167519,6.71,9.91,45.41,298.0,2.4,"Waffle, plain, frozen, ready-to-heat, microwave",64.43,4.554485709918997,0.10255234601864587,0.15145957511844718,0.694024147944368,Low Protein
167520,5.1,24.83,64.3,501.0,1.9,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",96.13,5.158035622361783,0.052506949449191806,0.255636775455575,0.6619993822711829,Low Protein
167521,6.08,22.42,64.48,484.0,2.7,"Pie Crust, Cookie-type, Chocolate, Ready Crust",95.68,5.0062060405461315,0.06288787753413322,0.23189904840711625,0.6669424906909391,Low Protein
167522,2.17,11.5,44.54,290.0,1.6,"Pie, Dutch Apple, Commercially Prepared",59.81,4.768952474921887,0.03568492024338102,0.18911363262621278,0.7324453214931754,Low Protein
167523,5.52,28.74,46.79,468.0,1.4,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",82.45,5.60814859197124,0.06614739364889155,0.3443978430197723,0.5606950269622528,Low Protein
167524,5.8,10.1,45.68,297.0,1.5,"Waffles, chocolate chip, frozen, ready-to-heat",63.08,4.634831460674158,0.09051186017478152,0.1576154806491885,0.7128589263420724,Low Protein
167525,6.15,23.38,64.43,474.0,5.8,"Tostada shells, corn",99.76,4.704247717348154,0.0610361254466058,0.2320365224295355,0.6394402540690751,Low Protein
167526,7.12,17.12,47.84,374.0,0.7,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",72.78000000000002,5.069124423963133,0.09650311737598263,0.23204120357820543,0.6484142043914339,Low Protein
167527,7.06,17.45,51.29,390.0,1.7,"Bread, pound cake type, pan de torta salvadoran",77.5,4.968152866242038,0.08993630573248407,0.22229299363057323,0.653375796178344,Low Protein
167528,5.48,18.5,47.76,379.0,2.2,"Pastry, Pastelitos de Guava (guava pastries)",73.94,5.057379236722712,0.07312516680010676,0.24686415799306113,0.6373098478783026,Low Protein
167529,14.25,13.35,64.35,433.0,3.8,"Crackers, snack, Goya Crackers",95.74999999999999,4.475452196382429,0.14728682170542637,0.13798449612403102,0.6651162790697674,Low Protein
167530,7.01,20.37,64.55,484.0,2.4,"Crackers, cream, Gamesa Sabrosas",94.33000000000001,5.077100597923003,0.07353403965173606,0.21367879995804048,0.6771215776775411,Low Protein
167531,7.19,19.5,64.88,464.0,2.4,"Crackers, cream, La Moderna Rikis Cream Crackers",93.97,4.8857533958092025,0.07570811835316416,0.20532799831525744,0.6831631041381488,Low Protein
167532,10.66,2.15,43.91,238.0,9.2,"Bread, white wheat",65.92,3.5564853556485354,0.1592946802151823,0.032127913927077104,0.6561566049013747,Medium Protein
167533,10.2,1.53,48.89,250.0,4.1,"Bagels, wheat",64.72,3.804017041996348,0.155203895313451,0.02328058429701765,0.7439135727328059,Medium Protein
167534,4.41,18.52,37.43,334.0,0.9,"Cream puff, eclair, custard or cream filled, iced",61.26,5.364600064246708,0.07083199486026341,0.2974622550594282,0.6011885640860906,Low Protein
167535,8.01,7.58,49.27,297.0,2.4,"Tortillas, ready-to-bake or -fry, flour, shelf stable",67.26,4.351010840902432,0.11734544389100497,0.11104600058599472,0.7217990038089657,Low Protein
167536,33.2,25.6,11.0,410.0,1.8,"Snacks, beef jerky, chopped and formed",71.60000000000001,5.647382920110192,0.4573002754820937,0.3526170798898071,0.1515151515151515,High Protein
167537,6.17,33.36,57.27,539.0,4.0,"Snacks, corn-based, extruded, chips, plain",100.80000000000001,5.294695481335952,0.06060903732809429,0.3277013752455795,0.562573673870334,Low Protein
167538,7.0,32.7,56.2,523.0,5.2,"Snacks, corn-based, extruded, chips, barbecue-flavor",101.10000000000001,5.122428991185112,0.06856023506366307,0.32027424094025464,0.5504407443682664,Low Protein
167539,5.8,26.9,62.9,510.0,1.1,"Snacks, corn-based, extruded, cones, plain",96.69999999999999,5.2200614124872065,0.05936540429887411,0.2753326509723644,0.6438075742067554,Low Protein
167540,1.0,2.68,82.82,359.0,0.0,"Snacks, fruit leather, pieces",86.5,4.102857142857143,0.011428571428571429,0.030628571428571432,0.9465142857142856,Low Protein
167541,0.1,3.0,85.8,371.0,0.0,"Snacks, fruit leather, rolls",88.89999999999999,4.1268075639599555,0.0011123470522803117,0.03337041156840935,0.9543937708565073,Low Protein
167542,10.1,19.8,64.4,471.0,5.3,"Snacks, granola bars, hard, plain",99.60000000000001,4.681908548707753,0.1003976143141153,0.19681908548707752,0.6401590457256461,Low Protein
167543,7.7,25.5,62.0,495.0,4.8,"Snacks, granola bars, hard, almond",100.0,4.900990099009901,0.07623762376237624,0.2524752475247525,0.6138613861386139,Low Protein
167544,7.6,17.8,66.4,448.0,4.2,"Snacks, granola bars, soft, uncoated, raisin",96.00000000000001,4.618556701030927,0.07835051546391751,0.18350515463917524,0.6845360824742268,Low Protein
167545,5.8,24.9,63.8,466.0,3.4,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",97.9,4.711830131445905,0.058645096056622846,0.2517694641051567,0.6450960566228513,Low Protein
167546,8.72,20.18,67.41,473.0,1.9,"Candies, honey-combed, with peanut butter",98.21000000000001,4.767664549944562,0.08789436548735007,0.20340691462554175,0.6794677955851224,Low Protein
167547,10.2,31.1,53.4,508.0,2.8,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",97.49999999999999,5.157360406091371,0.1035532994923858,0.3157360406091371,0.5421319796954316,Low Protein
167548,9.8,20.0,62.2,432.0,4.2,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",96.2,4.444444444444445,0.10082304526748971,0.205761316872428,0.6399176954732511,Low Protein
167549,7.29,43.55,45.06,583.0,8.1,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",104.0,5.552380952380952,0.06942857142857142,0.4147619047619047,0.42914285714285716,Low Protein
167550,9.7,3.1,80.1,384.0,2.9,"Snacks, popcorn, cakes",95.8,3.9669421487603307,0.10020661157024793,0.032024793388429756,0.8274793388429752,Low Protein
167551,6.4,7.8,80.7,400.0,3.8,"Snacks, popcorn, caramel-coated, with peanuts",98.7,4.012036108324975,0.0641925777331996,0.078234704112337,0.8094282848545638,Low Protein
